Pull Date,Deal Stage,Count
2024-02-15,3. Contracts & Committments,3044
2024-02-15,4A. Site Hold Invoiced,0
2024-02-15,4B. Site Walk Invoiced,0
2024-02-15,5A. Site Hold Paid,386
2024-02-15,5B. Site Walk Paid,39
2024-02-15,6. Sales Review,1
2024-02-15,7. RF Review,1
2024-02-15,8. Ops Review,61
2024-02-15,9. Equipment Review,10
2024-02-15,10. Equipment Invoiced,0
2024-02-15,11. Equipment Paid,70
2024-02-15,12. Equipment Shipped/Awaiting Install,0
2024-02-15,13. Installed Pending LPR,416
2024-02-15,14. Deal Won/ Installed,209
